Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,Oklahoma,2011,2020,622,34.8,21.7,8.8,4.4,0.9,0.5,0.498,0.521,0.333,0.694,75.2,0.167
2,2009,NBA,1,2,MEM,Hasheem Thabeet,22.135,C,tz,UConn,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,,0.578,4.8,0.099
3,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State,2010,2020,826,34.3,25.1,5.3,6.3,1.6,0.5,0.442,0.509,0.363,0.858,133.3,0.226
4,2009,NBA,1,4,SAC,Tyreke Evans,19.284,G-F,us,Memphis,2010,2019,594,30.7,15.7,4.6,4.8,1.2,0.4,0.44,0.468,0.323,0.757,28.4,0.075
5,2009,NBA,1,5,MIN,Ricky Rubio,18.252,G,es,NA,2012,2020,555,30.9,11.3,4.2,7.8,1.9,0.1,0.391,0.416,0.326,0.84,36.4,0.102
6,2009,NBA,1,6,MIN,Jonny Flynn,20.144,G,us,Syracuse,2010,2012,163,22.9,9.2,1.9,3.9,0.7,0,0.4,0.42,0.338,0.809,-1.1,-0.015
7,2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson,2010,2020,699,34.3,23.5,4.5,6.6,1.7,0.2,0.476,0.515,0.435,0.906,103.2,0.207
8,2009,NBA,1,8,NYK,Jordan Hill,21.339,C-F,us,Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,0.497,0.499,0.136,0.699,16.4,0.102
9,2009,NBA,1,9,TOR,DeMar DeRozan,19.327,G-F,us,USC,2010,2020,813,34.2,20,4.4,3.6,1,0.3,0.457,0.475,0.283,0.829,66.5,0.115
10,2009,NBA,1,10,MIL,Brandon Jennings,19.28,G,us,NA,2010,2018,555,30.3,14.1,3,5.7,1.2,0.2,0.387,0.412,0.345,0.796,29.9,0.085
11,2009,NBA,1,11,NJN,Terrence Williams,22.003,F,us,Louisville,2010,2013,153,19.1,7.1,3.6,2.4,0.5,0.1,0.412,0.432,0.317,0.659,-0.2,-0.004
12,2009,NBA,1,12,CHA,Gerald Henderson,21.204,G,us,Duke,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,0.063
13,2009,NBA,1,13,IND,Tyler Hansbrough,23.24,F,us,UNC,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
14,2009,NBA,1,14,PHO,Earl Clark,21.165,F,us,Louisville,2010,2015,261,13.9,4.4,3,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,0.038
15,2009,NBA,1,15,DET,Austin Daye,21.025,F,us,Gonzaga,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053
16,2009,NBA,1,16,CHI,James Johnson,22.131,F,us,Wake Forest,2010,2020,634,20.6,8,3.6,2.1,0.8,0.9,0.477,0.533,0.31,0.693,24.6,0.09
17,2009,NBA,1,17,PHI,Jrue Holiday,19.018,G,us,UCLA,2010,2020,707,33.3,15.9,3.9,6.4,1.5,0.5,0.452,0.488,0.355,0.777,43,0.088
18,2009,NBA,1,18,MIN,Ty Lawson,21.24,G,us,UNC,2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
19,2009,NBA,1,19,ATL,Jeff Teague,21.02,G,us,Wake Forest,2010,2020,771,27.5,12.6,2.5,5.8,1.2,0.3,0.445,0.474,0.356,0.844,50.8,0.115
20,2009,NBA,1,20,UTA,Eric Maynor,22.02,G,us,Virginia Commonwealth,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,0.041
21,2009,NBA,1,21,NOH,Darren Collison,21.312,G,us,UCLA,2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,0.115
22,2009,NBA,1,22,POR,Victor Claver,20.304,F,es,NA,2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011
23,2009,NBA,1,23,SAC,Omri Casspi,21.008,F,il,NA,2010,2019,588,20.3,7.9,4,1.1,0.6,0.2,0.454,0.502,0.368,0.678,19.6,0.078
24,2009,NBA,1,24,DAL,Byron Mullens,20.136,C,us,Ohio State,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
25,2009,NBA,1,25,OKC,Rodrigue Beaubois,21.127,G,gp,NA,2010,2013,182,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,0.079
26,2009,NBA,1,26,CHI,Taj Gibson,24.007,F,us,USC,2010,2020,799,25.1,9.5,6.3,1,0.6,1,0.515,0.521,0.22,0.709,52.4,0.125
27,2009,NBA,1,27,MEM,DeMarre Carroll,22.339,F,us,Missouri,2010,2020,575,23.7,8.9,4.3,1.3,0.9,0.3,0.43,0.485,0.358,0.74,29.4,0.104
28,2009,NBA,1,28,MIN,Wayne Ellington,21.214,G,us,UNC,2010,2020,681,21,8,2.2,1.1,0.5,0.1,0.408,0.446,0.378,0.846,18.2,0.061
29,2009,NBA,1,29,LAL,Toney Douglas,23.107,G,us,Florida State,2010,2017,394,19.1,7.6,2.2,2.3,0.9,0.1,0.404,0.448,0.354,0.824,12.1,0.077
30,2009,NBA,1,30,CLE,Christian Eyenga,20.008,F,cd,NA,2011,2012,51,20.6,6.3,2.7,0.8,0.7,0.6,0.411,0.464,0.277,0.611,-0.4,-0.02
31,2008,NBA,1,1,CHI,Derrick Rose,19.27,G,us,Memphis,2009,2020,596,32.6,18.8,3.4,5.6,0.8,0.3,0.456,0.485,0.304,0.827,39.7,0.098
32,2008,NBA,1,2,MIA,Michael Beasley,19.173,F,us,Kansas State,2009,2019,609,22.8,12.4,4.7,1.3,0.6,0.5,0.465,0.481,0.349,0.759,15.6,0.054
33,2008,NBA,1,3,MIN,O.J. Mayo,20.239,G,us,USC,2009,2016,547,30.9,13.8,3.1,2.9,1,0.3,0.429,0.459,0.373,0.82,21.8,0.062
34,2008,NBA,1,4,SEA,Russell Westbrook,19.231,G,us,UCLA,2009,2020,874,34.6,23.2,7.1,8.3,1.8,0.3,0.437,0.469,0.304,0.8,101.3,0.161
35,2008,NBA,1,5,MEM,Kevin Love,19.297,F,us,UCLA,2009,2020,713,32,18.2,11.1,2.4,0.7,0.5,0.442,0.48,0.37,0.828,82,0.173
36,2008,NBA,1,6,NYK,Danilo Gallinari,19.327,F,it,NA,2009,2020,604,31,16.2,4.9,2,0.8,0.4,0.427,0.465,0.381,0.872,56.1,0.144
37,2008,NBA,1,7,LAC,Eric Gordon,19.188,G,us,Indiana,2009,2020,663,32.8,16.6,2.5,2.9,0.9,0.3,0.425,0.475,0.37,0.811,34.3,0.076
38,2008,NBA,1,8,MIL,Joe Alexander,21.188,F,tw,West Virginia,2009,2010,67,11.1,4.2,1.8,0.7,0.2,0.4,0.41,0.426,0.34,0.698,0.5,0.03
39,2008,NBA,1,9,CHA,D.J. Augustin,20.234,G,us,Texas,2009,2020,856,24.1,9.9,1.9,4,0.6,0,0.412,0.438,0.379,0.865,44.5,0.103
40,2008,NBA,1,10,NJN,Brook Lopez,20.091,C,us,Stanford,2009,2020,778,30.6,16.8,6.4,1.5,0.6,1.8,0.494,0.522,0.338,0.792,64.7,0.13
41,2008,NBA,1,11,IND,Jerryd Bayless,19.315,G,us,Arizona,2009,2019,586,21.3,8.4,2.1,2.9,0.6,0.1,0.411,0.436,0.361,0.818,18.6,0.072
42,2008,NBA,1,12,SAC,Jason Thompson,21.346,F-C,us,Rider University,2009,2016,588,25.2,8.9,6.6,1.1,0.5,0.7,0.496,0.5,0.143,0.657,23.8,0.077
43,2008,NBA,1,13,POR,Brandon Rush,22.36,G-F,us,Kansas,2009,2017,481,22,6.8,2.9,1,0.5,0.5,0.426,0.447,0.402,0.706,11.2,0.051
44,2008,NBA,1,14,GSW,Anthony Randolph,18.351,F,de,LSU,2009,2014,252,15.2,7.1,4.3,0.7,0.6,0.9,0.453,0.466,0.241,0.74,5.8,0.072
45,2008,NBA,1,15,PHO,Robin Lopez,20.091,C,us,Stanford,2009,2020,826,22.4,8.8,5.1,0.8,0.2,1.2,0.529,0.535,0.299,0.751,44.7,0.116
46,2008,NBA,1,16,PHI,Marreese Speights,20.332,C-F,us,Florida,2009,2018,705,15.1,7.9,4.1,0.7,0.3,0.5,0.459,0.475,0.356,0.797,25.8,0.116
47,2008,NBA,1,17,TOR,Roy Hibbert,21.203,C,us,Georgetown,2009,2017,662,24.8,10,6.3,1.3,0.4,1.7,0.465,0.466,0.25,0.755,35.9,0.105
48,2008,NBA,1,18,WAS,JaVale McGee,20.164,C,us,Nevada,2009,2020,694,17.3,7.9,5.1,0.4,0.4,1.5,0.575,0.578,0.152,0.592,36.4,0.145
49,2008,NBA,1,19,CLE,J.J. Hickson,19.3,F-C,us,NC State,2009,2016,534,22.3,9.5,6.8,0.8,0.5,0.6,0.505,0.508,0,0.617,21.9,0.088
50,2008,NBA,1,20,CHA,Alexis Ajinça,20.056,C-F,fr,NA,2009,2017,293,13.3,5.3,3.9,0.5,0.3,0.6,0.503,0.51,0.286,0.797,7.5,0.093
51,2008,NBA,1,21,NJN,Ryan Anderson,20.056,F,us,California,2009,2020,649,25.8,12.3,5.3,0.9,0.5,0.3,0.422,0.47,0.38,0.854,46.7,0.134
52,2008,NBA,1,22,ORL,Courtney Lee,22.272,G,us,Western Kentucky,2009,2020,811,27.1,9.6,2.6,1.7,1,0.3,0.451,0.484,0.388,0.853,39.4,0.086
53,2008,NBA,1,23,UTA,Kosta Koufos,19.127,C,us,Ohio State,2009,2019,686,16.4,5.7,5,0.5,0.4,0.7,0.534,0.535,0,0.582,28.3,0.12
54,2008,NBA,1,24,SEA,Serge Ibaka,18.286,F-C,cg,NA,2010,2020,803,28.6,12.6,7.4,0.8,0.4,2.1,0.514,0.548,0.361,0.76,67.8,0.141
55,2008,NBA,1,25,HOU,Nicolas Batum,19.199,F-G,fr,NA,2009,2020,789,31.3,11.6,5.2,3.8,0.9,0.6,0.434,0.503,0.357,0.841,54.7,0.106
56,2008,NBA,1,26,SAS,George Hill,22.059,G,us,IUPUI,2009,2020,778,27.7,11.1,3.1,3.2,0.9,0.3,0.457,0.5,0.385,0.803,65,0.145
57,2008,NBA,1,27,NOH,Darrell Arthur,20.098,F,us,Kansas,2009,2018,503,17.8,6.5,3.5,0.8,0.6,0.6,0.444,0.46,0.352,0.765,12.3,0.066
58,2008,NBA,1,28,MEM,Donté Greene,20.131,F,de,Syracuse,2009,2012,253,16.8,6.1,2.4,0.7,0.4,0.5,0.406,0.467,0.304,0.701,1.5,0.017
59,2008,NBA,1,29,DET,D.J. White,21.305,F,us,Indiana,2009,2014,138,15.3,5.9,3.2,0.6,0.3,0.4,0.507,0.507,0.333,0.72,3.8,0.087
60,2008,NBA,1,30,BOS,J.R. Giddens,23.139,G,us,New Mexico,2009,2010,38,6.5,1.9,1.4,0.3,0.3,0.1,0.476,0.566,0,0.565,0.1,0.027
61,2007,NBA,1,1,POR,Greg Oden,19.162,C,us,Ohio State,2009,2014,105,19.3,8,6.2,0.5,0.4,1.2,0.574,0.574,,0.658,7.3,0.174
62,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,Texas,2008,2019,849,36.9,27,7.1,4.1,1.1,1.1,0.493,0.532,0.381,0.883,141.7,0.217
63,2007,NBA,1,3,ATL,Al Horford,21.03,C-F,do,Florida,2008,2020,846,32.7,14,8.3,3.3,0.8,1.2,0.52,0.544,0.361,0.754,90.7,0.158
64,2007,NBA,1,4,MEM,Mike Conley,19.265,G,us,Ohio State,2008,2020,829,32.4,14.8,3,5.7,1.4,0.2,0.439,0.468,0.375,0.818,73.5,0.131
65,2007,NBA,1,5,BOS,Jeff Green,20.309,F,us,Georgetown,2008,2020,900,29.5,13,4.4,1.6,0.7,0.5,0.441,0.484,0.334,0.805,41.6,0.075
66,2007,NBA,1,6,MIL,Yi Jianlian,19.249,F,cn,NA,2008,2012,272,22.2,7.9,4.9,0.7,0.5,0.7,0.404,0.413,0.333,0.78,3.1,0.025
67,2007,NBA,1,7,MIN,Corey Brewer,21.12,F-G,us,Florida,2008,2019,814,23,8.7,2.8,1.5,1.3,0.3,0.425,0.48,0.284,0.713,22.5,0.058
68,2007,NBA,1,8,CHA,Brandan Wright,19.271,F-C,us,UNC,2008,2018,428,16.2,7,3.6,0.5,0.5,1,0.607,0.61,0,0.674,26.2,0.181
69,2007,NBA,1,9,CHI,Joakim Noah,22.128,C,us,Florida,2008,2019,667,27.9,8.8,9.1,2.8,0.8,1.3,0.491,0.493,0,0.7,61.8,0.16
70,2007,NBA,1,10,SAC,Spencer Hawes,19.065,C-F,us,Washington,2008,2017,684,22.7,8.7,5.7,1.9,0.4,1,0.457,0.482,0.35,0.716,22.6,0.07
71,2007,NBA,1,11,ATL,Acie Law,22.159,G,us,Texas A&M,2008,2011,188,12.7,3.9,1,1.6,0.4,0,0.413,0.452,0.235,0.778,1.6,0.032
72,2007,NBA,1,12,PHI,Thaddeus Young,19.011,F,us,Georgia Tech,2008,2020,965,30.3,13.2,5.9,1.7,1.5,0.4,0.498,0.523,0.333,0.67,61.6,0.101
73,2007,NBA,1,13,NOK,Julian Wright,20.044,F,us,Kansas,2008,2011,231,13.2,3.9,2.3,0.8,0.6,0.3,0.499,0.519,0.262,0.584,3.9,0.061
74,2007,NBA,1,14,LAC,Al Thornton,23.209,F,us,Florida State,2008,2011,296,28,11.9,4.2,1.2,0.6,0.5,0.452,0.467,0.293,0.747,6.1,0.035
75,2007,NBA,1,15,DET,Rodney Stuckey,21.073,G,us,Eastern Washington,2008,2017,651,27.5,12.6,2.9,3.6,0.9,0.1,0.423,0.442,0.3,0.824,28.7,0.077
76,2007,NBA,1,16,WAS,Nick Young,22.032,G-F,us,USC,2008,2019,720,22.8,11.4,2,1,0.5,0.2,0.418,0.446,0.376,0.836,18.6,0.054
77,2007,NBA,1,17,NJN,Sean Williams,20.293,C-F,us,Boston College,2008,2012,137,14.4,4.2,3.4,0.3,0.3,1.2,0.511,0.512,0,0.624,3,0.073
78,2007,NBA,1,18,GSW,Marco Belinelli,21.1,G-F,it,NA,2008,2020,855,22.7,9.7,2.1,1.7,0.6,0.1,0.424,0.465,0.376,0.845,30.2,0.075
