"Rk","Year","Pk","Tm","Player","Age","Pos","Born","College","From","To","G","MP","WS","WS.48","Born2","College2","Pos2"
1,"2009",1,"LAC","Blake Griffin",20.106,"F","us","Oklahoma","2011","2020",622,34.8,75.2,0.167,"USA","1","Forward"
2,"2009",2,"MEM","Hasheem Thabeet",22.135,"C","tz","UConn","2010","2014",224,10.5,4.8,0.099,"World","1","Center"
3,"2009",3,"OKC","James Harden",19.308,"G","us","Arizona State","2010","2020",826,34.3,133.3,0.226,"USA","1","Guard"
4,"2009",4,"SAC","Tyreke Evans",19.284,"G-F","us","Memphis","2010","2019",594,30.7,28.4,0.075,"USA","1","Swingman"
5,"2009",5,"MIN","Ricky Rubio",18.252,"G","es","0","2012","2020",555,30.9,36.4,0.102,"World","0","Guard"
6,"2009",6,"MIN","Jonny Flynn",20.144,"G","us","Syracuse","2010","2012",163,22.9,-1.1,-0.015,"USA","1","Guard"
7,"2009",7,"GSW","Stephen Curry",21.108,"G","us","Davidson","2010","2020",699,34.3,103.2,0.207,"USA","1","Guard"
8,"2009",8,"NYK","Jordan Hill",21.339,"C-F","us","Arizona","2010","2017",409,18.8,16.4,0.102,"USA","1","Big"
9,"2009",9,"TOR","DeMar DeRozan",19.327,"G-F","us","USC","2010","2020",813,34.2,66.5,0.115,"USA","1","Swingman"
10,"2009",10,"MIL","Brandon Jennings",19.28,"G","us","0","2010","2018",555,30.3,29.9,0.085,"USA","0","Guard"
11,"2009",11,"NJN","Terrence Williams",22.003,"F","us","Louisville","2010","2013",153,19.1,-0.2,-0.004,"USA","1","Forward"
12,"2009",12,"CHA","Gerald Henderson",21.204,"G","us","Duke","2010","2017",535,25.9,18.3,0.063,"USA","1","Guard"
13,"2009",13,"IND","Tyler Hansbrough",23.24,"F","us","UNC","2010","2016",428,16.9,20.2,0.134,"USA","1","Forward"
14,"2009",14,"PHO","Earl Clark",21.165,"F","us","Louisville","2010","2015",261,13.9,2.9,0.038,"USA","1","Forward"
