player,current_team,age,position1,position2,annual_salary,win_shares
Chris Paul,PHX,37,PG,PG1,32000000,6.9
Kawhi Leonard,LAC,31,SF,SF1,37000000,9.4
Blake Griffin,DET,33,PF,PF1,35000000,5.2
Josh Richardson,DAL,29,SG,SG1,11000000,3.0
Gary Harris,DEN,28,SG,SG2,22500000,3.7
Montrezl Harrell,LAL,28,PF,PF2,26000000,4.2
Zach LaVine,CHI,27,SG,SG3,10500000,3.8
Rajon Rondo,ATL,36,PG,PG2,6500000,2.3
Ricky Rubio,MIN,31,PG,PG3,18500000,4.7
Rodney Hood,POR,29,SF,SF2,19500000,2.1
Jonas Valanciunas,MEM,30,C,C1,15000000,5.1
Thaddeus Young,CHI,34,PF,PF3,17000000,3.9
Patrick Beverley,LAC,34,PG,PG4,16500000,4.2
Will Barton,DEN,31,SF,SF3,14500000,3.8
Justise Winslow,MEM,26,SF,SF4,15000000,2.8
Marcus Smart,BOS,28,PG,PG5,15500000,4.7
Marvin Bagley III,SAC,23,PF,PF4,14500000,4.7
Taurean Prince,CLE,28,PF,PF5,14500000,1.7
Cory Joseph,SAC,31,PG,PG6,14500000,3.6
Jusuf Nurkic,POR,28,C,C2,14000000,3.8
T.J. Warren,IND,29,SF,SF5,13500000,3.7
Robert Covington,POR,31,PF,PF6,13500000,3.1
Serge Ibaka,LAC,33,C,C3,12000000,2.9
Aron Baynes,TOR,35,C,C4,7000000,2.5
