team,season,team_season,screen_assists,screen_assists_pts,deflections,off_loose_balls,def_loose_balls,loose_balls,charges,contested_2pt,contested_3pt,contested_shots,wins
Atlanta Hawks,2018-19,ATL 19,8,18.2,14.5,4.5,5,9.5,0.5,38,25.2,63.2,29
Boston Celtics,2018-19,BOS 19,8.6,20,14.1,3.2,5.1,8.3,0.7,35.9,26.4,62.3,49
Brooklyn Nets,2018-19,BKN 19,11,26.2,12.1,3.8,4.2,8,0.3,44.5,22.2,66.7,42
Charlotte Hornets,2018-19,CHA 19,11.1,25.7,12.6,3.3,4.8,8.1,0.6,39.2,25.3,64.5,39
Chicago Bulls,2018-19,CHI 19,8.3,18.6,12.6,3.2,4.7,7.9,0.4,36.5,24.9,61.3,22
Cleveland Cavaliers,2018-19,CLE 19,9.8,22.4,11.8,3.6,4,7.6,0.5,34.6,23.9,58.4,19
Dallas Mavericks,2018-19,DAL 19,8.5,20.1,11.5,3.8,4.5,8.4,0.8,38.3,24.5,62.8,33
Denver Nuggets,2018-19,DEN 19,9,19.9,13.9,3.8,4.7,8.6,0.4,34,25.9,60,54
Detroit Pistons,2018-19,DET 19,9.4,21.6,12.2,3.8,4.5,8.3,0.7,37.3,21.4,58.6,41
Golden State Warriors,2018-19,GSW 19,10.7,26.3,14.2,3.7,5,8.7,0.7,39.1,25.6,64.7,57
Houston Rockets,2018-19,HOU 19,6.8,16.6,14.9,3.5,5,8.4,0.7,34.7,21.3,56,53
Indiana Pacers,2018-19,IND 19,9,20.2,14.2,3.5,5,8.6,0.6,36.3,26.1,62.5,48
Los Angeles Clippers,2018-19,LAC 19,9.2,20.5,12.6,3.5,4.3,7.8,0.7,41.3,22.3,63.6,48
Los Angeles Lakers,2018-19,LAL 19,8.8,20.1,11.9,4,4.5,8.5,0.5,39.5,24.9,64.4,37
Memphis Grizzlies,2018-19,MEM 19,7.7,17.6,14.5,4.1,4.9,8.9,0.6,36.1,25,61.1,33
Miami Heat,2018-19,MIA 19,8.4,19.3,13.8,4.2,4.5,8.7,0.4,37.6,25.9,63.5,39
