season_end,team,wins,losses,pct,champ
1991,Atlanta Hawks,43,39,0.52,0
1991,Boston Celtics,56,26,0.68,0
1991,Charlotte Hornets,26,56,0.32,0
1991,Chicago Bulls,61,21,0.74,1
1991,Cleveland Cavaliers,33,49,0.40,0
1991,Dallas Mavericks,28,54,0.34,0
1991,Denver Nuggets,20,62,0.24,0
1991,Detroit Pistons,50,32,0.61,0
1991,Golden State Warriors,44,38,0.54,0
1991,Houston Rockets,52,30,0.63,0
1991,Indiana Pacers,41,41,0.50,0
1991,Los Angeles Clippers,31,51,0.38,0
1991,Los Angeles Lakers,58,24,0.71,0
1991,Miami Heat,24,58,0.29,0
1991,Milwaukee Bucks,48,34,0.59,0
1991,Minnesota Timberwolves,29,53,0.35,0
1991,New Jersey Nets,26,56,0.32,0
1991,New York Knicks,39,43,0.48,0
1991,Orlando Magic,31,51,0.38,0
1991,Philadelphia 76ers,44,38,0.54,0
1991,Phoenix Suns,55,27,0.67,0
1991,Portland Trail Blazers,63,19,0.77,0
1991,Sacramento Kings,25,57,0.30,0
1991,San Antonio Spurs,55,27,0.67,0
1991,Seattle SuperSonics,41,41,0.50,0
1991,Utah Jazz,54,28,0.66,0
1991,Washington Bullets,30,52,0.37,0
1992,Atlanta Hawks,38,44,0.46,0
1992,Boston Celtics,51,31,0.62,0
1992,Charlotte Hornets,31,51,0.38,0
1992,Chicago Bulls,67,15,0.82,1
1992,Cleveland Cavaliers,57,25,0.70,0
1992,Dallas Mavericks,22,60,0.27,0
1992,Denver Nuggets,24,58,0.29,0
1992,Detroit Pistons,48,34,0.59,0
1992,Golden State Warriors,55,27,0.67,0
1992,Houston Rockets,42,40,0.51,0
1992,Indiana Pacers,40,42,0.49,0
1992,Los Angeles Clippers,45,37,0.55,0
1992,Los Angeles Lakers,43,39,0.52,0
1992,Miami Heat,38,44,0.46,0
1992,Milwaukee Bucks,31,51,0.38,0
1992,Minnesota Timberwolves,15,67,0.18,0
1992,New Jersey Nets,40,42,0.49,0
1992,New York Knicks,51,31,0.62,0
1992,Orlando Magic,21,61,0.26,0
1992,Philadelphia 76ers,35,47,0.43,0
1992,Phoenix Suns,53,29,0.65,0
1992,Portland Trail Blazers,57,25,0.70,0
1992,Sacramento Kings,29,53,0.35,0
1992,San Antonio Spurs,47,35,0.57,0
1992,Seattle SuperSonics,47,35,0.57,0
1992,Utah Jazz,55,27,0.67,0
1992,Washington Bullets,25,57,0.30,0
1993,Atlanta Hawks,43,39,0.52,0
1993,Boston Celtics,48,34,0.59,0
1993,Charlotte Hornets,44,38,0.54,0
1993,Chicago Bulls,57,25,0.70,1
1993,Cleveland Cavaliers,54,28,0.66,0
1993,Dallas Mavericks,11,71,0.13,0
1993,Denver Nuggets,36,46,0.44,0
1993,Detroit Pistons,40,42,0.49,0
1993,Golden State Warriors,34,48,0.41,0
1993,Houston Rockets,55,27,0.67,0
1993,Indiana Pacers,41,41,0.50,0
1993,Los Angeles Clippers,41,41,0.50,0
1993,Los Angeles Lakers,39,43,0.48,0
1993,Miami Heat,36,46,0.44,0
1993,Milwaukee Bucks,28,54,0.34,0
1993,Minnesota Timberwolves,19,63,0.23,0
1993,New Jersey Nets,43,39,0.52,0
1993,New York Knicks,60,22,0.73,0
1993,Orlando Magic,41,41,0.50,0
1993,Philadelphia 76ers,26,56,0.32,0
1993,Phoenix Suns,62,20,0.76,0
1993,Portland Trail Blazers,51,31,0.62,0
1993,Sacramento Kings,25,57,0.30,0
1993,San Antonio Spurs,49,33,0.60,0
1993,Seattle SuperSonics,55,27,0.67,0
1993,Utah Jazz,47,35,0.57,0
1993,Washington Bullets,22,60,0.27,0
1994,Atlanta Hawks,57,25,0.70,0
1994,Boston Celtics,32,50,0.39,0
1994,Charlotte Hornets,41,41,0.50,0
1994,Chicago Bulls,55,27,0.67,0
1994,Cleveland Cavaliers,47,35,0.57,0
1994,Dallas Mavericks,13,69,0.16,0
1994,Denver Nuggets,42,40,0.51,0
1994,Detroit Pistons,20,62,0.24,0
1994,Golden State Warriors,50,32,0.61,0
1994,Houston Rockets,58,24,0.71,1
1994,Indiana Pacers,47,35,0.57,0
1994,Los Angeles Clippers,27,55,0.33,0
1994,Los Angeles Lakers,33,49,0.40,0
1994,Miami Heat,42,40,0.51,0
1994,Milwaukee Bucks,20,62,0.24,0
1994,Minnesota Timberwolves,20,62,0.24,0
1994,New Jersey Nets,45,37,0.55,0
1994,New York Knicks,57,25,0.70,0
1994,Orlando Magic,50,32,0.61,0
1994,Philadelphia 76ers,25,57,0.30,0
1994,Phoenix Suns,56,26,0.68,0
1994,Portland Trail Blazers,47,35,0.57,0
1994,Sacramento Kings,28,54,0.34,0
1994,San Antonio Spurs,55,27,0.67,0
1994,Seattle SuperSonics,63,19,0.77,0
