Team,2017s,2016s,2015s,2014s,2013s,2012s,2011s,2010s,2009s,2008s,2007s,2006s,2005s,2004s,2003s,2002s,2001s,2000s,2017sa,2016sa,2015sa,2014sa,2013sa,2012sa,2011sa,2010sa,2009sa,2008sa,2007sa,2006sa,2005sa,2004sa,2003sa,2002sa,2001sa,2000sa,2017w,2016w,2015w,2014w,2013w,2012w,2011w,2010w,2009w,2008w,2007w,2006w,2005w,2004w,2003w,2002w,2001w,2000w,2017pc,2016pc,2015pc,2014pc,2013pc,2012pc,2011pc,2010pc,2009pc,2008pc,2007pc,2006pc,2005pc,2004pc,2003pc,2002pc,2001pc,2000pc
Atlanta Hawks,95471579,72902950,58470278,58936376,66768365,73669912,71469843,65883642,68168841,55501133,48581972,42944553,41059616,64497340,55711549,51525207,39297129,44169202,102154590,80193245,64902009,65419377,75448252,84720399,83619716,79719207,83847674,67711382,61699104,55827919,55430482,89651303,79667515,75226802,58552722,67578879,43,48,60,38,44,40,44,53,47,37,30,26,13,28,35,33,25,28,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
Boston Celtics,87272327,77139134,62442955,70676163,73021989,79820530,82045867,83552174,79188973,74509455,62981479,56907300,64577356,60185915,52548195,47515677,51478707,46152875,93381390,84853047,69311680,78450541,82514848,91793610,95993664,101098131,97402437,90901535,79986478,73979490,87179431,83658422,75143919,69372888,76703273,70613899,53,48,40,25,41,39,56,50,62,66,24,33,45,36,44,49,36,35,10,10,10,0,10,10,10,10,10,11,0,0,10,10,10,10,0,0
Brooklyn Nets,72926799,88346807,92172817,107358841,85282885,65281235,58495989,59366715,62666523,61836211,64486110,66449350,54983980,63697123,60412919,75193712,68977578,53245461,78031675,97181488,102311827,119168314,96369660,75073420,68440307,71833725,77079823,75440177,81897360,86384155,74228373,88539001,86390474,109782820,102776591,81465555,20,21,38,44,49,22,24,12,34,34,41,49,42,47,49,52,26,31,0,0,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,0
Charlotte Hornets,99780303,78691926,76397531,72426678,57491899,57902024,66542696,68681758,62866926,53745468,41964046,33458932,23922578,,,49999445,46441558,38619012,106764924,86561119,84801259,80393613,64965846,66587328,77854954,83104927,77326319,65569471,53294338,43496612,32295480,,,72999190,69197921,59087088,36,48,33,43,21,7,34,44,35,32,33,26,18,,,44,46,49,0,10,0,10,0,0,0,10,0,0,0,0,0,,,10,10,10
Chicago Bulls,94291373,86783378,80964682,71877371,75627699,69548447,54538076,69700359,68126774,63084166,54754904,57166530,57276129,55489797,44531095,42592857,29691907,27032368,100891769,95461716,89870797,79783882,85459300,79980714,63809549,84337434,83795932,76962683,69538728,74316489,77322774,77130818,63679466,62185571,44240941,41359523,41,42,50,48,45,50,62,41,41,33,49,41,47,23,30,21,15,17,10,0,10,10,10,10,10,10,10,0,10,10,10,0,0,0,0,0
Cleveland Cavaliers,130454892,108126026,83095277,66611520,68428583,64875599,53990021,83398534,91298233,82217583,62992729,51303962,49175274,46186472,49610448,45649974,49780549,46547966,139586734,118938629,92235757,73938787,77324299,74606939,63168325,100912226,112296827,100305451,80000766,66695151,66386620,64199196,70942941,66648962,74173018,71218388,51,57,53,33,24,21,19,61,66,45,50,50,42,35,17,29,30,32,10,11,10,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0
Dallas Mavericks,109800808,74722199,84245429,74811065,68391849,77180233,85409890,88916075,95045559,101694879,88531846,98454832,91908443,79536723,72940316,57960080,52274842,40014500,117486865,82194419,93512426,83040282,77282789,88757268,99929571,107588451,116906038,124067752,112435444,127991282,124076398,110556045,104304652,84621717,77889515,61222185,33,42,50,49,41,36,57,55,50,51,67,60,58,52,60,57,53,40,0,10,10,10,0,10,11,10,10,10,10,10,10,10,10,10,10,0
Denver Nuggets,68394193,72305488,56767895,70520548,68566062,58553173,68019290,74935538,70121003,82958227,65517776,56492172,46101759,39398646,49109209,54460475,52189220,40677095,73181787,79536037,63012363,78277808,77479650,67336149,79582569,90672001,86248834,101209037,83207576,73439824,62237375,54764118,70226169,79512294,77761938,62235955,40,33,30,36,57,38,50,53,54,50,45,44,49,43,17,27,40,35,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0
Detroit Pistons,106119045,85963779,64407195,61897253,63057497,70923605,65517821,60185833,71434174,65898875,59010951,59619275,54762481,53442834,47777888,42417677,40475338,42141801,113547378,94560157,71491986,68705951,71254972,81562146,76655851,72824858,87864034,80396628,74943908,77505058,73929349,74285539,68322380,61929808,60308254,64476956,37,44,32,29,29,25,30,27,39,59,53,64,54,54,50,50,32,42,0,10,0,0,0,0,0,0,10,10,10,10,10,11,10,10,0,10
Golden State Warriors,99524309,95454038,73780441,71488484,69695346,61576901,68415336,65352372,67416431,62148303,65012368,57114566,54943723,53376708,47737715,47681152,42363018,36133518,106491011,104999442,81896290,79352217,78755741,70813436,80045943,79076370,82922210,75820930,82565707,74248936,74174026,74193624,68264932,69614482,63120897,55284283,67,73,67,51,47,23,36,26,29,48,42,34,34,37,38,21,17,19,11,10,11,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0
